time,open_x,high_x,low_x,close_x,Basis_x,Volume_x,RSI_x,MACD_x,OnBalanceVolume_x,btc_dom,eth_dom,crypto_cap,crypto_cap_exc_BTC,btc_reward,silver_mean,sp500_mean,vix_mean,gold_mean,us,btc_s2f,btc_s2f_price,nlp_compound,nlp_subjectivity,nlp_polarity,sentiment_Extreme Fear,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral
2021-05-04,42774.461875,42859.83125,39810.56,39889.2675,38095.884874999996,210308088.88754693,30.197214856792073,-289.2888866290932,66273432.03200423,47.05181455123767,17.60045675194552,2194482303153.7532,1161754150999.0532,68034176.30412355,26.443,4171.855,18.82,1782.04,65.7815,45.2879746865923,58210.41484743458,0.23140000000000005,0.33434125639393936,0.06195745333333335,0,0,0,1,0
2021-05-05,39888.854375,43487.158125,39674.55,43073.27375,37899.24528125,192853119.3644641,36.635090792131265,-152.584586813211,259126551.3964683,46.36842126360235,17.542872511476325,2233928709211.089,1198493529758.0088,61161963.09240894,26.866500000000002,4172.33,18.994999999999997,1800.4650000000001,65.04249999999999,52.21371691248093,93897.5895562851,0.05951481481481481,0.28506800811111116,0.07915591096296296,0,0,0,0,1
2021-05-06,43080.05875,43772.9125,41432.2675,42298.459375,37729.223031249996,194918650.88049012,35.09198237691705,-100.5570418085963,64207900.51597819,45.706353146428185,17.43242000985446,2331271571312.8135,1265709373726.5012,66659326.27502956,27.326999999999998,4185.385,18.4,1821.53,64.84899999999999,48.22364299225979,71887.23925279589,0.166375,0.330176086725,0.11093448775000003,1,0,0,0,0
2021-05-13,37186.29375,38518.738750000004,34338.9,37256.12875,37777.979125,264155566.017999,26.192212704450537,-536.2500724843794,204752747.83706778,42.59346639858884,20.069965095516068,2177428961263.034,1250041371762.844,53650242.5112691,27.148,4093.75,24.58,1834.705,64.62100000000001,50.94003314336289,86420.57334160128,0.03214148936170215,0.29616929174468093,0.06772546540425534,0,0,1,0,0
2021-05-17,34817.921875,34964.095,31562.319375,32654.08875,37037.30040625,277829233.921407,20.371791352286852,-1714.2826134409493,-359576607.8726029,40.916860067077025,19.326505267145375,2058854214572.2383,1216494778584.0547,36875391.36590077,28.177999999999997,4166.610000000001,19.805,1867.305,65.78,67.79126112690412,225757.3141772167,0.04730999999999997,0.2969859532875,0.11395012626249998,0,0,1,0,0
2021-05-18,32661.2525,34342.835,31699.614999999998,32140.3125,36625.345281249996,223650877.64529103,21.71184969995065,-2009.0960541834907,-583227485.517894,40.517035024823215,19.34337247781777,1996480000404.6348,1187607488370.2598,30628667.24071644,27.9295,4146.889999999999,20.115000000000002,1868.77,64.31049999999999,82.03016568958137,428399.95008083736,0.11424461538461538,0.31002371710769233,0.08234279372307692,1,0,0,0,0
2021-05-19,32139.975,32679.255624999998,21821.6125,27498.069375,36044.6374375,469575305.94656646,17.05475087502841,-2556.442690899917,-1052802791.4644605,42.26940978424902,18.937656991898315,1775243140602.557,1030023910166.4319,36558890.15030742,27.735500000000002,4107.07,22.32,1872.67,62.631,65.6268722776925,202438.3027878135,-0.07744177215189874,0.24527321129113924,0.04917540001265822,1,0,0,0,0
2021-05-20,27507.103125,31811.698125000003,26165.29375,30392.005,35454.38109375,278229675.86140496,24.351462551414414,-2744.482268772901,-774573115.6030555,43.75150983809001,18.292833944732312,1655845817881.3572,931791524831.8572,33135536.43756745,27.5925,4140.55,21.5,1876.2649999999999,62.8855,73.24701682166634,292814.3504129486,0.0014899159663865525,0.3923751652184873,0.044844161899159664,1,0,0,0,0
2021-05-24,26014.163125,29954.35,25759.566875,29104.004375,35806.285,213436322.36375922,27.179003043775484,-3425.1745155384647,-900773706.1974233,45.420787930971,18.089983095665726,1518912371008.1465,830331627325.8962,32668797.23653627,27.85,4183.610000000001,19.5,1889.165,65.9925,65.13979275188983,197434.00930029879,0.0532032258064516,0.360326915467742,0.12670119977419356,1,0,0,0,0
2021-05-25,29102.17125,29845.82625,27328.59,28742.675000000003,35089.7550625,195244662.30465752,26.748971444933936,-3364.5047693812344,-1096018368.502081,44.12854938401662,18.97500029464362,1638229216890.6006,915295942373.1082,32577927.94728843,27.820999999999998,4197.03,18.545,1897.29,66.076,66.7097005650901,213881.47179272023,0.09423859649122804,0.3845503911228069,0.1644635578596491,1,0,0,0,0
2021-05-26,28742.404375000002,30629.505,28351.794374999998,29430.07875,34446.33603125,193256560.39713776,28.263951781031206,-3228.217641829204,-902761808.104943,43.29730020076827,19.3363712991309,1679641849423.79,952663140566.1799,32976616.14112848,27.746499999999997,4193.785,17.87,1896.04,66.533,67.25924111542152,219859.25324274143,0.08427222222222222,0.36574341299999996,0.11436872024074071,1,0,0,0,0
2021-05-27,29429.182500000003,30303.19875,27852.37375,28895.7375,33741.9486875,175180929.99758697,27.54026640298624,-3123.6075189114663,-1077942738.10253,42.96325658717524,19.269066814045473,1695820069237.1196,967318753825.7446,30872457.37497882,27.889499999999998,4201.405,17.39,1899.97,66.74950000000001,70.136307384843,253084.9306971106,0.11468809523809524,0.3135135367142857,0.11563294507142857,0,0,1,0,0
2021-06-01,27935.33,28423.43625,26770.55,27516.216875,30015.67228125,156946345.08747602,28.173622235113342,-3231.969648217404,-1383485217.6256993,42.734670712415976,19.136978958127518,1620361224612.4045,927897420193.9197,34238305.81555942,27.991999999999997,4209.275,17.564999999999998,1901.8899999999999,68.362,57.80113846941386,132130.91185078933,0.045919999999999996,0.32922414623999996,0.04483946604,0,1,0,0,0
2021-06-02,27520.361875,28671.855,26944.405000000002,28187.301875,29562.230937499993,123535866.51589435,29.902112177795654,-3022.0867032399337,-1259949351.109805,42.44712828553413,18.93299193523078,1638198708795.6821,942874735762.9272,41033277.7360982,27.7605,4207.465,17.674999999999997,1889.0900000000001,68.8115,49.447087091429616,78200.75526870618,0.13505600000000004,0.34250505056,0.14224278499999998,0,1,0,0,0
